epoch,time(s),train_loss,test_loss,test_error(%)
001,00239,1.258056,0.00113,40.60
002,00234,0.991131,0.00078,27.34
003,00235,0.866573,0.00071,24.35
004,00234,0.817367,0.00066,22.96
005,00235,0.771703,0.00057,19.03
006,00235,0.755271,0.00057,19.24
007,00235,0.699909,0.00056,18.54
